"Propiedades de la ubicación"
"Nombre de la ubicación = Sin nombre"
"Identificación de ubicación = 7df69ec8-72e3-4a21-a514-9c4efcb05c96"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 13:58:22"
"Duración = 34.20:01:38"
"Lecturas = 1675"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 969970"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1003230"
""
"Propiedades del registro"
"Nombre del registro = Registro_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 3"
"Identificación del registro = fbbb46ba-3945-4e73-ad13-7c5844b2b255"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 969970",,,,,,"Aqua TROLL 500 1003230",,,,,,
"Fecha Hora","Latitud (°) (969970)","Longitud (°) (969970)","Elevación (m) (969970)","Temperatura (°C) (969970)","Capacidad de la batería (%) (969970)","Presión barométrica (mm Hg) (969970)","Concentración RDO (mg/L) (1003620)","Nitrato (NO₃⁻ - N) (mg/L) (983048)","pH (pH) (982972)","ORP (mV) (982972)","Conductividad real (µS/cm) (1001986)","Temperatura (°C) (1003230)","Profundidad (ft) (997881)"
"2023-03-31 02:30:00","41.74765","1.844165","337.6","11.71976","99.26662","738.5071","12.38698","0.174636","9.071343","159.4193","360.3588","16.39695","2.611651"
"2023-03-31 03:00:00","41.74706","1.844247","285.2","11.47308","99.25821","738.1721","12.36204","0.1762869","9.072128","159.1046","364.7541","16.37899","2.625497"
"2023-03-31 03:30:00","41.74709","1.844295","290.7","11.20496","99.25269","737.8914","12.29452","0.1754693","9.052763","158.0031","365.814","16.35428","2.618197"
"2023-03-31 04:00:00","41.74705","1.844278","282.4","10.76523","99.2419","737.8582","12.26312","0.1708591","9.06348","157.8004","378.9731","16.33059","2.608284"
"2023-03-31 04:30:00","41.74701","1.844342","244.9","10.5829","99.23716","737.4127","12.14208","0.1677674","9.050915","157.8434","379.6648","16.31943","2.620147"
"2023-03-31 05:00:00","41.74692","1.844132","283.1","10.10027","99.23085","737.3138","12.17724","0.1682545","9.040544","157.8028","361.5475","16.29144","2.611535"
"2023-03-31 05:30:00","41.74704","1.844207","299","10.16462","99.22506","736.9542","12.10612","0.1710819","9.047611","156.8921","363.0095","16.26296","2.608616"
"2023-03-31 06:00:00","41.74767","1.844073","321.4","9.907219","99.2198","736.7823","12.0841","0.175538","9.029387","154.2361","407.4055","16.24073","2.610207"
"2023-03-31 06:30:00","41.74695","1.84443","285","10.00375","99.21349","736.8719","11.99789","0.1710188","9.026902","144.8591","377.1364","16.20068","2.63127"
"2023-03-31 07:00:00","41.74744","1.843817","321.4","10.111","99.20796","736.955","11.88906","0.1728099","9.022305","143.3451","378.6936","16.14549","2.61224"
"2023-03-31 07:30:00","41.74744","1.8442","336","12.29892","99.20086","737.0986","11.32219","0.1718862","9.019105","153.95","385.87","16.12826","2.631114"
"2023-03-31 08:00:00","41.74732","1.844298","317.4","14.19726","99.19586","736.9709","11.51007","0.17152","9.014617","154.1979","385.7177","16.09899","2.619255"
"2023-03-31 08:30:00","41.74717","1.844278","244","15.38774","99.18903","737.2493","11.58355","0.1768629","9.015388","153.7402","355.592","16.06336","2.623346"
"2023-03-31 09:00:00","41.74721","1.844207","304.1","16.19213","99.18245","737.381","11.80364","0.1755128","9.013381","155.328","352.5045","16.0377","2.631027"
"2023-03-31 09:30:00","41.74604","1.84422","156.3","16.71766","99.17693","737.429","11.80008","0.172049","9.015506","154.4745","350.0585","16.01893","2.633282"
"2023-03-31 10:00:00","41.74738","1.844253","306","17.90814","99.17035","737.1658","11.8544","0.1829483","9.031006","145.7031","391.1689","16.01736","2.61304"
