"Propiedades de la ubicación"
"Nombre de la ubicación = Unnamed"
"Identificación de ubicación = 99b19a22-da0c-4101-883b-8835c7c43bcb"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 12:50:25"
"Duración = 34.21:09:35"
"Lecturas = 1676"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 970485"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1002779"
""
"Propiedades del registro"
"Nombre del registro = Log_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 2"
"Identificación del registro = 6536ec03-c5f3-4c88-8b6f-1b61dd267e56"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 970485",,,"Aqua TROLL 500 1002779",,,,,,,
"Fecha Hora","Temperatura (°C) (970485)","Capacidad de la batería (%) (970485)","Presión barométrica (mm Hg) (970485)","Turbidez (NTU) (1001626)","Fluorescencia de BGA-PE (algas verdiazules-ficoeritrina) (RFU) (1005408)","Fluorescencia de BGA-PC (algas verdiazules-ficocianina) (RFU) (1008102)","Fluorescencia de clorofila-a (RFU) (1005345)","Temperatura (°C) (1002779)","Voltaje externo (V) (1002779)","Presión (psi) (997880)","Profundidad (ft) (997880)"
"2023-03-31 04:00:00","11.22641","98.61348","737.4806","0.1121639","0","0.4667857","3.315555","16.28934","15.705","1.316366","3.664549"
"2023-03-31 04:30:00","11.01191","98.61137","737.0748","0.319074","0","0.5103459","3.221378","16.27448","15.669","1.318285","3.669027"
"2023-03-31 05:00:00","10.47565","98.60796","736.9574","0.08779391","0","0.5192401","3.019757","16.2504","15.687","1.322258","3.67815"
"2023-03-31 05:30:00","10.57217","98.60585","736.6149","0.9701656","0","0.5003942","3.17423","16.21887","15.696","1.318999","3.670617"
"2023-03-31 06:00:00","10.21825","98.60296","736.3915","0.1127566","0","0.5389166","3.097743","16.19702","15.687","1.318096","3.668478"
"2023-03-31 06:30:00","10.30405","98.60085","736.5135","0","0","0.5152779","3.162887","16.146","15.696","1.324606","3.683598"
"2023-03-31 07:00:00","10.35767","98.59638","736.5908","0.7879906","0","0.5296564","3.102562","16.11145","15.687","1.321589","3.676657"
"2023-03-31 07:30:00","12.37399","98.59217","736.7941","12.90899","0","0.5171264","2.912177","16.07794","15.714","1.316327","3.664404"
"2023-03-31 08:00:00","14.18653","98.58901","736.671","4.335294","0.002018777","0.5464019","4.467028","16.05319","15.687","1.324153","3.682505"
"2023-03-31 08:30:00","15.33412","98.58665","736.9852","0.1972721","0.0007748208","0.5159985","5.022627","16.02219","15.705","1.316862","3.665693"
"2023-03-31 09:00:00","16.14923","98.58454","737.1072","3.367562","0","0.5096763","3.327365","15.98972","15.714","1.325193","3.684916"
"2023-03-31 09:30:00","16.65331","98.58139","737.2322","12.53645","0","0.5273832","2.992085","15.96735","15.723","1.315335","3.662176"
"2023-03-31 10:00:00","17.73654","98.57928","736.9887","17.8133","0","0.5038738","2.648297","15.95786","15.696","1.322796","3.679241"
"2023-03-31 10:30:00","18.54092","98.57586","737.0121","0","0","0.5285441","2.463356","16.03754","15.696","1.315202","3.661915"
"2023-03-31 11:00:00","19.31313","98.57376","737.1545","0.2462402","0","0.4783869","2.121183","16.11456","15.723","1.316216","3.664141"
"2023-03-31 11:30:00","20.02099","98.57034","737.1226","0.9007604","0","0.6025883","2.447214","16.20837","15.687","1.313805","3.658721"
"2023-03-31 12:00:00","20.75029","98.56797","736.9136","0.5454456","0","0.4909191","2.207253","16.28049","15.723","1.319323","3.671314"
"2023-03-31 12:30:00","21.44743","98.56481","736.8889","0.2883201","0","0.5929473","1.885665","16.27991","15.696","1.320103","3.673023"
"2023-03-31 13:00:00","22.21963","98.56271","736.5151","0.2574371","0","0.5865618","1.510369","16.38174","15.705","1.318295","3.669007"
"2023-03-31 13:30:00","22.88459","98.56034","736.5812","0.6936064","0","0.5593201","1.744594","16.45807","15.723","1.318248","3.66875"
"2023-03-31 14:00:00","23.60317","98.55719","736.4084","0.3439941","0","0.5747471","1.696908","16.53949","15.705","1.31875","3.669694"
"2023-03-31 14:30:00","24.5148","98.55482","736.1373","0.0591797","0","0.5910852","1.722864","16.60611","15.705","1.320311","3.673652"
"2023-03-31 15:00:00","23.78549","98.55167","736.0641","0.4956022","0","0.6226283","1.898787","16.59604","15.705","1.318678","3.670498"
"2023-03-31 15:30:00","23.57099","98.54956","735.7808","0.2851226","0","0.5551017","1.932294","16.64511","15.705","1.324175","3.682566"
"2023-03-31 16:00:00","24.1287","98.54588","735.8931","0.4183051","0","0.6282488","1.834441","16.7182","15.705","1.318359","3.669008"
"2023-03-31 16:30:00","24.0858","98.54351","735.5338","0.7795672","0","0.5677232","1.90856","16.82657","15.705","1.324773","3.683795"
"2023-03-31 17:00:00","24.11797","98.54035","735.3928","1.085308","0","0.584215","1.987079","16.93063","15.723","1.32155","3.676564"
"2023-03-31 17:30:00","24.09652","98.53799","735.2126","1.411156","0","0.6036726","2.059962","16.99509","15.696","1.318756","3.670114"
"2023-03-31 18:00:00","23.30286","98.53561","735.3085","2.077552","0","0.5549152","2.144374","16.99026","15.705","1.32436","3.683035"
"2023-03-31 18:30:00","23.66752","98.53246","735.2723","2.057095","0","0.5686209","1.99858","17.00891","15.696","1.326459","3.687757"
"2023-03-31 19:00:00","26.9923","98.53009","735.4935","3.757018","0","0.5877107","2.079434","17.03214","15.714","1.323306","3.680424"
"2023-03-31 19:30:00","25.22266","98.52667","735.5128","0.9868156","0","0.5697703","2.809187","17.00314","15.705","1.322055","3.677415"
"2023-03-31 20:00:00","23.52809","98.52431","735.4996","0.9917294","0","0.5745506","2.777616","16.94849","15.714","1.324369","3.68302"
"2023-03-31 20:30:00","20.32129","98.52089","735.6072","0.6485831","0","0.5280696","2.819059","16.85681","15.705","1.325364","3.685298"
"2023-03-31 21:00:00","19.50618","98.51878","735.7369","0.2473406","0","0.5301249","2.924165","16.80923","15.705","1.322854","3.679576"
"2023-03-31 21:30:00","18.96992","98.51588","736.0002","0.7567598","0","0.5545698","3.427655","16.78455","15.705","1.326069","3.686992"
"2023-03-31 22:00:00","18.17627","98.51352","736.3322","0.5951307","0","0.5470383","3.292459","16.76892","15.696","1.325006","3.684422"
"2023-03-31 22:30:00","17.71509","98.51141","736.5494","0.6658198","0","0.54453","3.320417","16.73444","15.687","1.326056","3.686754"
"2023-03-31 23:00:00","17.76871","98.50826","736.6605","0.1862502","0","0.5418018","2.745398","16.67905","15.714","1.323447","3.68073"
